Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.6,131889,36500
Corolla,Aseer,Toyota,Automatic,Saudi,Standard,2017,1.6,110,46000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.5,161353,57500
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,179858,121500
Rav4,Riyadh,Toyota,Automatic,Saudi,Full,2016,2.0,216000,60000
Other,Dammam,Lexus,Automatic,Saudi,Full,2015,4.6,170000,135000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,61374,46500
Cadenza,Riyadh,Kia,Automatic,Saudi,Standard,2012,3.6,147000,25000
Hilux,Aseer,Toyota,Manual,Saudi,Full,2015,2.7,276,57000
LS,Riyadh,Lexus,Automatic,Saudi,Full,2008,4.6,130000,75000
Camry,Makkah,Toyota,Automatic,Saudi,Full,2020,2.4,2000,119000
Hilux,Aseer,Toyota,Manual,Saudi,Semi Full,2018,2.7,20000,115000
6,Al-Medina,Mazda,Automatic,Saudi,Semi Full,2016,2.5,100000,57000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,181000,29000
Sonata,Tabouk,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,46000,85000
S300,Jeddah,Chrysler,Automatic,Other,Semi Full,2015,3.6,106000,75000
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,90706,61500
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Semi Full,2012,4.0,327193,75000
CLA,Riyadh,Mercedes,Automatic,Other,Standard,2020,2.0,20000,235000
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2004,3.5,322000,23000
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,190000,26000
Other,Riyadh,Honda,Manual,Saudi,Semi Full,2005,4.0,100,20000
H1,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,131000,42000
Accord,Riyadh,Honda,Automatic,Saudi,Full,2017,2.4,139806,71500
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2015,5.7,190000,99000
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2019,1.6,73000,48500
H1,Jeddah,Hyundai,Automatic,Saudi,Standard,2015,4.0,400000,43000
Other,Riyadh,Other,Automatic,Saudi,Semi Full,2018,1.6,34000,85000
C300,Al-Ahsa,Chrysler,Automatic,Other,Semi Full,2015,3.6,109000,70000
Suburban,Riyadh,Generalis Motors,Automatic,Gulf Arabic,Semi Full,2018,5.3,58000,170000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Full,2009,6.2,20000,56000
Land Cruiser,Taef,Toyota,Automatic,Saudi,Semi Full,2014,4.6,346000,130000
Maxima,Riyadh,Nissan,Automatic,Saudi,Full,2017,1.0,135000,73000
Taurus,Al-Ahsa,Ford,Automatic,Saudi,Standard,2011,4.5,301515,26000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2012,3.8,86213,41500
Other,Riyadh,Mercedes,Automatic,Saudi,Full,2012,4.8,106000,71000
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,75000,110000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2016,3.5,144000,55000
LX,Riyadh,Lexus,Automatic,Saudi,Full,2021,5.7,1700,498000
Other,Dammam,Dodge,Manual,Saudi,Standard,2019,2.5,65000,50000
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2015,3.5,215515,42000
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2016,3.8,91000,67000
S,Riyadh,Mercedes,Automatic,Other,Semi Full,2005,5.0,350000,20000
Prado,Other,Toyota,Automatic,Saudi,Semi Full,2009,4.0,85000,73000
S300,Dammam,Chrysler,Automatic,Other,Full,2018,3.6,66000,122000
Other,Riyadh,Other,Manual,Saudi,Full,2014,1.8,161300,12000
C,Riyadh,Mercedes,Automatic,Other,Semi Full,2015,2.0,187000,94000
H1,Al-Jouf,Hyundai,Automatic,Saudi,Full,2012,2.4,240,25000
Innova,Tabouk,Toyota,Automatic,Saudi,Full,2017,2.7,139400,58000
Cressida,Jeddah,Toyota,Manual,Gulf Arabic,Standard,1993,1.2,25000,15000
Azera,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,3.5,72900,80000
Sportage,Dammam,Kia,Automatic,Saudi,Full,2014,2.4,140000,45000
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2006,4.8,247000,55000
Elantra,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2015,2.0,140,38000
Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,2019,4.6,6000,267000
Suburban,Al-Medina,Generalis Motors,Automatic,Other,Full,1999,5.3,70000,20000
Flex,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.6,290000,30000
