Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Edge,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,105344,66500
Sentra,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,1.6,78000,38000
The 5,Dammam,BMW,Automatic,Gulf Arabic,Semi Full,2020,1.9,7800,177000
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,165000,63000
C,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2016,2.0,129000,134000
C,Al-Medina,Mercedes,Automatic,Saudi,Full,2017,2.5,118000,119000
Land Cruiser,Dammam,Toyota,Manual,Saudi,Standard,1994,4.6,600000,25000
Altima,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017,2.5,40000,67000
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,43632,45500
Focus,Jeddah,Ford,Automatic,Other,Standard,2011,1.6,181000,10000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,70263,89000
Armada,Riyadh,Nissan,Automatic,Saudi,Semi Full,2015,5.8,129500,40000
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,39000,151000
G,Riyadh,Mercedes,Automatic,Saudi,Full,2014,5.5,125000,245000
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,3.3,143405,74500
Silverado,Riyadh,Generalis Motors,Automatic,Gulf Arabic,Full,2010,5.3,228,29000
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,5.5,169000,44000
Other,Dammam,Other,Automatic,Saudi,Full,2016,5.6,185000,119000
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,132501,245000
Range Rover,Riyadh,Land Rover,Automatic,Other,Full,2019,5.0,28000,450000
Other,Jazan,Mazda,Automatic,Saudi,Full,2010,2.3,170000,25000
LX,Abha,Lexus,Automatic,Saudi,Full,2014,5.7,342,150000
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,2012,4.0,94000,95000
Other,Jeddah,Other,Automatic,Saudi,Semi Full,2006,6.0,394360,15000
Tahoe,Dammam,Generalis Motors,Automatic,Other,Full,2015,5.7,168000,110000
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2013,3.3,282000,43000
Prado,Jeddah,Toyota,Manual,Other,Full,2009,4.0,300000,50000
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,20406,132000
FJ,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,4.9,115,110000
ES,Dammam,Lexus,Automatic,Other,Full,2019,3.5,40000,185000
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,65000
Datsun,Dammam,Nissan,Manual,Saudi,Full,2015,2.4,205000,30000
CS75,Dammam,Changan,Automatic,Saudi,Full,2020,1.8,11000,70000
Rio,Jubail,Kia,Manual,Saudi,Standard,2011,1.4,218000,11500
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.5,215735,64500
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2018,1.6,83000,50000
Yukon,Jubail,Generalis Motors,Automatic,Saudi,Full,2019,5.3,50000,1
Suburban,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2005,5.3,400000,25000
Sentra,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2018,1.6,62000,41000
Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,3.3,89000,38000
Range Rover,Al-Medina,Land Rover,Automatic,Saudi,Full,2009,5.0,214000,85000
FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,4.0,381000,88000
Expedition,Aseer,Ford,Automatic,Saudi,Semi Full,2021,1.6,2500,207000
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,27000,104500
Victoria,Riyadh,Ford,Automatic,Saudi,Semi Full,1999,1.0,4000,10000
IS,Jeddah,Lexus,Automatic,Saudi,Full,2018,3.5,54000,275000
Accord,Riyadh,Honda,Automatic,Saudi,Standard,2017,1.0,63000,88000
IS,Dammam,Lexus,Automatic,Gulf Arabic,Full,2016,3.5,89000,128000
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2005,2.8,533000,25000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,103358,48500
S,Dammam,Mercedes,Automatic,Other,Full,2015,3.0,46000,210000
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,15000,105000
H1,Taef,Hyundai,Automatic,Saudi,Semi Full,2016,1.4,127000,1959
C300,Dammam,Chrysler,Automatic,Other,Full,2013,5.7,178000,45000
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,205000,60000
Avalon,Taef,Toyota,Automatic,Saudi,Full,2017,3.5,180000,95000
Sportage,Al-Ahsa,Kia,Automatic,Saudi,Standard,2019,1.6,75000,60000
Grand Cherokee,Riyadh,Jeep,Automatic,Other,Full,2012,8.0,210000,47000
Caprice,Al-Baha,Generalis Motors,Automatic,Other,Full,2009,6.0,350000,15000
Accent,Taef,Hyundai,Automatic,Saudi,Full,2014,1.6,324000,20000
Optima,Riyadh,Kia,Automatic,Gulf Arabic,Standard,2017,2.4,75000,48000
Malibu,Dammam,Generalis Motors,Automatic,Saudi,Full,2013,3.6,177000,30000
Sportage,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,61000,59000
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2018,3.5,108000,77000
Yukon,Taef,Generalis Motors,Automatic,Saudi,Standard,2017,5.3,39000,142000
Yukon,Jazan,Generalis Motors,Automatic,Saudi,Semi Full,2011,5.3,307216,30000
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2016,3.0,91747,66500
S,Khobar,Mercedes,Automatic,Other,Full,2012,4.7,188000,80000
Accent,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2017,1.4,174000,24000
C,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2015,2.0,54000,120000
Accent,Hail,Hyundai,Automatic,Saudi,Standard,2020,1.4,21000,47000
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Full,2016,2.7,388000,55000
Victoria,Yanbu,Ford,Automatic,Saudi,Standard,2011,4.6,128000,43000
Sentra,Aseer,Nissan,Automatic,Saudi,Semi Full,2020,1.6,7000,55000
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,114482,30000
Innova,Makkah,Toyota,Automatic,Saudi,Standard,2015,2.7,250000,38500
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,110900,57000
Wrangler,Dammam,Jeep,Automatic,Gulf Arabic,Semi Full,2020,3.6,4000,190000
C300,Jeddah,Chrysler,Automatic,Saudi,Full,2005,5.7,300000,20000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2018,5.7,34000,80000
Furniture,Riyadh,Toyota,Automatic,Other,Semi Full,2013,2.4,170000,55000
Other,Riyadh,Nissan,Manual,Saudi,Full,2018,3.0,3000,107000
Acadia,Riyadh,Generalis Motors,Automatic,Saudi,Full,2008,3.6,220000,20000
Hilux,Other,Toyota,Manual,Saudi,Full,2018,2.7,35000,85000
Corolla,Riyadh,Toyota,Automatic,Other,Full,2015,2.0,80000,39000
Tahoe,Jeddah,Generalis Motors,Automatic,Other,Full,2007,5.3,128,35000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,118000
A8,Dammam,Audi,Automatic,Saudi,Full,2019,3.0,41000,325000
LX,Jeddah,Lexus,Automatic,Saudi,Full,2020,5.7,10000,425000
Accent,Riyadh,Hyundai,Manual,Saudi,Standard,2010,1.4,273000,12000
Patrol,Al-Medina,Nissan,Automatic,Saudi,Full,2015,4.0,77000,166000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2021,4.0,7456,146500
Sierra,Khobar,Generalis Motors,Automatic,Saudi,Full,2021,5.3,2000,190000
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,18000,128000
Tahoe,Dammam,Generalis Motors,Automatic,Saudi,Full,2021,5.3,800,310000
Taurus,Jeddah,Ford,Automatic,Saudi,Semi Full,2019,2.0,89500,76000
Rio,Riyadh,Kia,Automatic,Gulf Arabic,Standard,2016,1.4,180000,28000
Maxima,Jeddah,Nissan,Automatic,Saudi,Semi Full,2011,3.5,355000,20000
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,2.4,268000,58000
CX5,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2020,2.5,4000,83500
Prado,Dammam,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,89000,151000
Other,Riyadh,Other,Automatic,Gulf Arabic,Semi Full,2019,2.0,5000,90000
Tucson,Makkah,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,213000,28000
ES,Riyadh,Lexus,Automatic,Other,Full,2017,3.5,34593,148000
Other,Riyadh,Cadillac,Automatic,Gulf Arabic,Full,2018,2.0,51000,125000
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.6,105272,38500
X,Riyadh,BMW,Automatic,Other,Standard,2020,3.0,15900,270000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,78781,47500
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Full,2014,2.4,290000,40000
S,Dammam,Mercedes,Automatic,Saudi,Standard,2016,3.0,60000,210000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2012,1.0,448000,109000
Sportage,Jeddah,Kia,Automatic,Saudi,Semi Full,2019,1.6,57000,75000
Vego,Jeddah,Ford,Automatic,Saudi,Standard,2019,1.5,26315,27499
Taurus,Al-Ahsa,Ford,Automatic,Saudi,Standard,2014,3.5,211886,42000
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,80000,69000
Expedition,Al-Medina,Ford,Automatic,Saudi,Semi Full,2016,1.5,170000,85000
Mustang,Dammam,Ford,Automatic,Other,Full,2016,5.0,92000,129000
Tahoe,Dammam,Generalis Motors,Automatic,Saudi,Standard,2013,1.8,350000,50000
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.6,203000,55000
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,141000,36000
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2020,5.0,36000,540000
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,2.5,247,55000
Camry,Qassim,Toyota,Automatic,Other,Full,2005,2.5,437000,13000
Other,Dammam,Audi,Automatic,Saudi,Full,2018,3.0,79800,160000
Elantra,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,35000,63500
Other,Jeddah,Other,Automatic,Saudi,Full,2020,2.0,12000,80000
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2020,2.7,24552,76500
Expedition,Al-Ahsa,Ford,Manual,Saudi,Full,2012,4.8,304,38000
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,4.0,205000,61000
Tucson,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,190000,54000
C,Riyadh,Mercedes,Automatic,Other,Full,2020,2.0,24000,267000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2019,1.5,80000,35500
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2006,3.6,380000,5000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,128000,35000
Hilux,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,2.7,90000,79000
Expedition,Tabouk,Ford,Automatic,Saudi,Semi Full,2007,3.5,241271,25000
Patrol,Jeddah,Nissan,Automatic,Saudi,Full,2020,4.0,29000,238000
Prado,Makkah,Toyota,Manual,Saudi,Semi Full,2006,4.0,2800000,35000
Durango,Riyadh,Dodge,Automatic,Saudi,Full,2019,8.0,13906,210000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,132000,65000
ES,Al-Ahsa,Lexus,Automatic,Other,Full,2017,3.5,101000,119000
Duster,Dammam,Renault,Automatic,Saudi,Full,2019,1.6,27000,54000
Charger,Dammam,Dodge,Automatic,Other,Full,2016,3.6,101000,95000
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2018,3.5,75000,96000
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2015,1.5,193265,26500
Tahoe,Aseer,Generalis Motors,Automatic,Other,Semi Full,2008,5.3,300000,35000
C,Riyadh,Mercedes,Automatic,Gulf Arabic,Standard,2015,2.4,127000,102000
Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Full,2019,4.5,95000,233000
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,68000,66000
Cerato,Makkah,Kia,Automatic,Saudi,Standard,2020,1.6,31700,1500
Camry,Makkah,Toyota,Manual,Saudi,Full,2008,2.4,360000,19000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2017,4.0,78000,182000
Marquis,Riyadh,Ford,Automatic,Other,Full,2010,5.0,270000,19000
6,Dammam,Mazda,Automatic,Saudi,Standard,2017,2.5,175000,50000
Other,Dammam,Kia,Automatic,Saudi,Full,2020,3.3,7000,160000
Charger,Riyadh,Dodge,Automatic,Saudi,Semi Full,2016,5.7,236335,78500
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,3.5,209000,50000
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2021,4.0,1800,265000
X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2018,2.5,30000,68000
Other,Dammam,Other,Automatic,Saudi,Full,2015,6.0,47000,310000
Navara,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,2.5,178754,45000
Traverse,Jeddah,Generalis Motors,Automatic,Saudi,Semi Full,2011,2.5,65000,35000
Tahoe,Riyadh,Generalis Motors,Automatic,Gulf Arabic,Full,2017,5.3,55000,168000
Innova,Riyadh,Toyota,Manual,Saudi,Standard,2006,2.5,498000,18000
Other,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2005,5.3,84000,22000
Fusion,Makkah,Ford,Automatic,Saudi,Semi Full,2012,2.5,270,16500
Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,56500
Yukon,Dammam,Generalis Motors,Automatic,Saudi,Standard,2012,5.3,177000,75000
Other,Jeddah,Kia,Automatic,Saudi,Full,2014,3.5,81000,78000
Other,Makkah,Other,Automatic,Saudi,Full,2009,6.0,49000,220000
Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,220000,30000
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2018,1.5,88000,24000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.5,277000,48000
Other,Al-Ahsa,Cadillac,Automatic,Other,Full,1991,5.7,91000,65000
Acadia,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2011,3.6,253000,20000
Copper,Riyadh,Other,Automatic,Gulf Arabic,Full,2016,2.0,42000,95000
Patrol,Taef,Nissan,Automatic,Gulf Arabic,Full,1998,4.5,595000,20000
Land Cruiser 70,Hail,Toyota,Manual,Saudi,Semi Full,2011,4.0,352500,58000
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.3,446000,35000
Other,Jeddah,Generalis Motors,Automatic,Saudi,Semi Full,2009,2.0,370000,11000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2019,1.4,57000,35000
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,320000,55000
Charger,Yanbu,Dodge,Automatic,Saudi,Full,2013,5.7,145000,35000
Marquis,Riyadh,Ford,Automatic,Saudi,Semi Full,2005,4.6,2500000,9000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,61184,54000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,271000,55000
Flex,Dammam,Ford,Automatic,Saudi,Semi Full,2014,3.5,180000,49000
Sonata,Al-Ahsa,Hyundai,Automatic,Other,Semi Full,2016,2.4,258000,38000
Charger,Dammam,Dodge,Automatic,Other,Semi Full,2018,3.6,89000,109000
Camry,Other,Toyota,Automatic,Other,Standard,2016,2.5,161000,55000
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,67000,52000
Passat,Hail,Other,Automatic,Saudi,Semi Full,2018,2.5,59000,2402
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2017,3.5,136000,67000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2018,4.0,81499,123000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2015,5.3,82343,125000
Marquis,Riyadh,Ford,Automatic,Other,Full,2010,4.6,200000,18000
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,56991,33500
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,40000,42000
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.7,230000,45000
Other,Riyadh,Jeep,Automatic,Saudi,Standard,2016,2.4,96213,38500
Elantra,Al-Jouf,Hyundai,Automatic,Gulf Arabic,Semi Full,2018,2.0,83000,1324
Other,Taef,Other,Automatic,Saudi,Full,2016,1.8,42420,35000
X,Jeddah,BMW,Automatic,Saudi,Semi Full,2010,3.0,200,61000
Aveo,Dammam,Generalis Motors,Automatic,Other,Standard,2014,1.6,88000,13000
A,Jeddah,Mercedes,Automatic,Saudi,Standard,2020,2.0,10770,165000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,124975,33000
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,119000,32000
ML,Jeddah,Mercedes,Automatic,Saudi,Full,2015,3.5,125000,100000
Camry,Taef,Toyota,Automatic,Saudi,Standard,2021,2.5,10000,1519
Tahoe,Riyadh,Generalis Motors,Automatic,Gulf Arabic,Standard,2020,5.3,37000,165000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.6,18000,285000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2018,3.5,128000,93500
Other,Riyadh,Mitsubishi,Automatic,Saudi,Full,2021,2.0,2300,75000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2017,1.6,240000,45000
CLS,Dammam,Mercedes,Automatic,Saudi,Full,2007,6.3,178000,33000
VTC,Dammam,Nissan,Manual,Saudi,Standard,2009,4.0,54000,42000
Azera,Dammam,Hyundai,Automatic,Saudi,Full,2018,3.5,76000,78000
X,Riyadh,BMW,Automatic,Gulf Arabic,Full,2019,3.0,14000,220000
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2016,3.0,350000,41000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,114000,32000
Other,Riyadh,Other,Automatic,Saudi,Full,2012,5.4,205000,77000
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,4.0,201000,108000
Other,Qassim,Other,Manual,Other,Standard,1980,2.4,2500,220000
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2018,1.5,53146,91500
Elantra,Riyadh,Hyundai,Manual,Other,Semi Full,2011,2.0,290,12000
Tahoe,Hail,Generalis Motors,Automatic,Saudi,Semi Full,2012,4.8,100000,75000
LS,Jeddah,Lexus,Automatic,Other,Full,2011,4.6,220,90000
S,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2015,3.0,96500,220000
Prado,Al-Ahsa,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,78000,135000
Land Cruiser,Taef,Toyota,Automatic,Saudi,Semi Full,2007,1.0,400000,30000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.0,159000,39000
Impala,Al-Ahsa,Generalis Motors,Automatic,Other,Full,1964,1.2,100000,75000
3,Riyadh,Other,Manual,Saudi,Standard,2013,1.3,41000,15000
Sierra,Dammam,Generalis Motors,Automatic,Gulf Arabic,Semi Full,2006,5.3,283000,29000
Datsun,Riyadh,Nissan,Manual,Other,Full,1998,2.4,650000,12000
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2018,2.5,42000,95000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.6,156000,40000
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Full,2000,4.8,396000,30000
Rav4,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.5,174000,77000
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2019,3.5,40000,120000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.4,25234,44000
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2016,3.8,75000,70000
Land Cruiser,Najran,Toyota,Automatic,Saudi,Full,2013,4.6,280,100000
Carnival,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,38000
Sierra,Dammam,Generalis Motors,Automatic,Saudi,Full,2011,6.2,165000,65000
SEL,Jeddah,Mercedes,Automatic,Other,Full,1991,5.6,17000,100000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,152000,60000
Sonata,Dammam,Hyundai,Automatic,Saudi,Full,2017,2.4,69000,51000
Land Cruiser,Riyadh,Toyota,Manual,Saudi,Standard,2003,4.6,300,40000
Malibu,Riyadh,Generalis Motors,Automatic,Gulf Arabic,Standard,2017,2.4,146000,40500
Impala,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2018,3.6,110519,58500
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,85000,75000
FJ,Jeddah,Toyota,Automatic,Saudi,Full,2014,4.0,190000,85000
Prestige,Riyadh,Genesis,Automatic,Saudi,Semi Full,2013,3.8,185000,40000
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,60700,33000
Rio,Dammam,Kia,Automatic,Saudi,Standard,2016,1.4,119000,20000
Rav4,Riyadh,Toyota,Automatic,Saudi,Full,2014,2.5,155,55000
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2020,1.6,81000,55000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,65325,71500
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,4.0,56000,150000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.6,120377,42000
Other,Hafar Al-Batin,Toyota,Automatic,Saudi,Standard,2016,1.6,115,30000
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,60000
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2015,3.5,249000,76000
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,143594,69000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2008,5.7,3300000,27000
Other,Jeddah,Other,Automatic,Saudi,Full,2016,1.6,128000,25000
Expedition,Jeddah,Ford,Automatic,Saudi,Standard,2016,3.6,127500,79000
Other,Qassim,Honda,Automatic,Gulf Arabic,Standard,2018,1.5,36000,35000
S,Riyadh,Mercedes,Automatic,Saudi,Full,2012,3.0,140000,95000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2017,3.5,123000,85000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2017,1.6,132310,49500
Expedition,Jeddah,Ford,Automatic,Saudi,Standard,2012,5.4,350000,30000
S300,Dammam,Chrysler,Automatic,Other,Semi Full,2015,3.6,109000,74000
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2019,4.0,73909,116500
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,3.5,3773,124500
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2012,2.5,221000,30000
Sunny,Riyadh,Nissan,Automatic,Gulf Arabic,Standard,2019,1.5,92300,29000
Tahoe,Aseer,Generalis Motors,Automatic,Saudi,Semi Full,2019,8.0,132346,140000
Taurus,Khobar,Ford,Automatic,Saudi,Standard,2017,3.5,125000,62000
Yukon,Hail,Generalis Motors,Automatic,Saudi,Semi Full,2011,5.3,223,40000
LX,Abha,Lexus,Automatic,Other,Full,2005,4.8,225000,45000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Semi Full,2014,3.0,175000,72000
3,Jeddah,Mazda,Automatic,Saudi,Standard,2018,1.6,90000,41000
VTC,Al-Ahsa,Nissan,Manual,Saudi,Standard,2015,4.8,340000,49000
Other,Riyadh,Mitsubishi,Automatic,Saudi,Full,2020,2.0,22000,67000
Optima,Riyadh,Kia,Automatic,Saudi,Standard,2017,2.4,263400,40000
Creta,Other,Hyundai,Automatic,Saudi,Full,2018,1.6,11800,56000
Furniture,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2016,2.4,120000,92000
Altima,Riyadh,Nissan,Automatic,Gulf Arabic,Full,2019,2.5,1000,115000
3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.6,99000,45000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2019,1.4,56000,40000
S,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2019,3.0,6000,470000
Avalon,Qassim,Toyota,Automatic,Other,Semi Full,2016,3.5,110000,73000
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2017,5.0,150000,115000
Yaris,Najran,Toyota,Automatic,Saudi,Full,2018,1.5,169000,1046
Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,200000,57000
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2015,2.4,144000,50000
Other,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,1.5,225000,26000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2018,3.5,73000,77000
Duster,Riyadh,Renault,Automatic,Saudi,Standard,2018,2.0,164169,29500
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2021,4.6,3549,286500
6,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2016,2.0,196000,50000
ES,Riyadh,Lexus,Automatic,Saudi,Full,2020,3.5,33000,210000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,74917,38500
6,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.5,78000,76000
The 3,Dammam,BMW,Automatic,Saudi,Full,2018,2.0,96000,90000
Explorer,Jeddah,Ford,Automatic,Other,Standard,2010,6.6,190000,20000
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Full,2011,6.0,200000,46000
Elantra,Riyadh,Hyundai,Automatic,Other,Full,2021,2.0,3000,90000
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2010,6.0,35000,160000
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2010,2.4,255,33500
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,67000,32000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Full,2016,5.3,146000,118000
Patrol,Dammam,Nissan,Automatic,Saudi,Full,2020,4.0,56000,225000
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,73000,61000
Suburban,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2004,5.3,300000,8000
H1,Al-Medina,Hyundai,Automatic,Saudi,Full,2014,2.4,185,39000
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2019,4.5,82808,230000
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,88288,51500
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,319000,46000
H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,318000,26000
Senta fe,Al-Ahsa,Hyundai,Automatic,Saudi,Full,2016,3.3,157000,69000
Other,Dammam,Mitsubishi,Automatic,Saudi,Standard,2019,1.2,19000,32000
